1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd
1724,0.0,3.0,Av,528,ALQ,1152,0.0,480,RFn,1967.0,1724,TA,17871,66.0,0,5,6,1680,1967,1976
855,0.0,3.0,No,566,ALQ,289,0.0,440,Unf,1976.0,1456,TA,2280,24.0,0,6,6,855,1976,1976
1007,793.0,3.0,No,0,Unf,982,0.0,463,Fin,2000.0,1800,TA,8123,60.0,63,5,6,982,2000,2000
480,0.0,3.0,Av,50,BLQ,430,0.0,308,Unf,1958.0,480,TA,9000,50.0,0,3,2,480,1949,1950
1682,0.0,3.0,No,0,Unf,1304,0.0,530,Unf,1970.0,1682,TA,10400,80.0,0,6,7,1304,1970,1970
1680,0.0,3.0,No,808,GLQ,72,0.0,540,Fin,1988.0,1680,Gd,21695,66.0,44,9,6,880,1988,2007
1200,0.0,3.0,No,334,ALQ,322,0.0,521,RFn,1995.0,1200,Gd,11249,105.0,26,5,6,1200,1995,1995
1466,1362.0,4.0,Gd,1150,GLQ,316,0.0,1052,RFn,2006.0,2828,Gd,9965,77.0,144,5,8,1466,2006,2007
999,0.0,3.0,Av,784,BLQ,141,0.0,300,Unf,1962.0,999,TA,10205,69.0,72,5,5,925,1962,1962
1301,0.0,2.0,Mn,405,LwQ,740,0.0,440,Unf,1965.0,1301,Fa,6911,60.0,0,5,5,1145,1924,1950
679,504.0,2.0,No,331,ALQ,318,0.0,308,Unf,1981.0,1183,TA,6000,50.0,176,7,3,649,1948,2002
1103,0.0,2.0,No,397,BLQ,706,0.0,440,Unf,1976.0,1103,Gd,6000,50.0,120,6,6,1103,1925,1980
981,787.0,3.0,No,569,ALQ,162,0.0,240,Unf,1939.0,1768,Gd,7200,60.0,0,7,5,731,1937,1950
686,564.0,3.0,No,0,Unf,686,0.0,280,Unf,1955.0,1250,Fa,8248,45.0,0,7,5,686,1918,1950
630,0.0,3.0,Av,515,GLQ,115,0.0,286,Unf,1970.0,630,Gd,1526,21.0,0,8,4,630,1970,2002
848,0.0,3.0,Mn,662,GLQ,186,0.0,420,RFn,2004.0,848,Gd,4435,37.0,0,5,6,848,2004,2004
979,979.0,4.0,No,484,Rec,495,0.0,492,Unf,1946.0,1958,TA,7136,82.0,0,6,6,979,1946,1950
