1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
1091,898.0,3.0,Mn,932,GLQ,133,0.0,586,Fin,2002.0,1989,Gd,11367,90.0,210.0,60,5,8,1065,0.0,2002,2002,255000
988,517.0,3.0,No,399,Rec,484,0.0,240,Unf,1940.0,1505,TA,9144,66.0,0.0,0,5,5,883,0.0,1940,1982,145000
1040,0.0,3.0,Mn,532,LwQ,364,0.0,484,Unf,1977.0,1040,Gd,8800,61.0,0.0,0,7,5,1040,0.0,1977,2008,150500
1572,1096.0,3.0,Av,1016,GLQ,556,0.0,726,Fin,2003.0,2668,Ex,13688,110.0,664.0,0,5,9,1572,0.0,2003,2004,412500
2020,0.0,3.0,No,1436,GLQ,570,0.0,900,Fin,2009.0,2020,Ex,12220,94.0,305.0,54,5,10,2006,0.0,2009,2009,402861
1048,0.0,2.0,No,0,Unf,993,0.0,280,Unf,1922.0,1048,TA,6380,58.0,0.0,0,6,5,993,0.0,1922,1950,113000
896,896.0,4.0,No,0,Unf,896,0.0,0,None,1982.5,1792,TA,9000,60.0,0.0,45,5,5,896,0.0,1974,1974,136000
520,600.0,2.0,No,0,Unf,600,0.0,480,RFn,2005.0,1200,Gd,3180,30.0,0.0,166,5,7,600,0.0,2005,2005,144152
1383,0.0,3.0,No,565,Rec,818,0.0,292,Unf,1960.0,1383,TA,11600,80.0,175.0,45,5,6,1383,0.0,1960,1960,145250
1004,0.0,2.0,Gd,975,GLQ,0,0.0,504,Unf,1977.0,1004,TA,10530,78.0,90.0,0,5,6,975,0.0,1977,1977,135000
864,0.0,3.0,No,600,BLQ,264,0.0,576,Unf,1980.0,864,TA,12735,66.0,0.0,0,5,4,864,0.0,1972,1972,111250
1375,0.0,2.0,No,0,Unf,1367,0.0,451,Unf,1954.0,1375,TA,11310,75.0,0.0,30,5,6,1367,0.0,1954,1954,140000
1120,0.0,3.0,No,932,ALQ,108,0.0,544,RFn,1961.0,1120,Fa,6970,85.0,0.0,0,5,4,1040,0.0,1961,1961,129000
1226,592.0,4.0,No,224,LwQ,816,0.0,240,Unf,1951.0,1818,TA,7758,66.0,600.0,0,4,7,1040,0.0,1931,1950,169500
1114,0.0,3.0,No,646,GLQ,468,0.0,576,Unf,2004.0,1114,Gd,13695,66.0,0.0,102,5,5,1114,0.0,2004,2004,159000
1158,0.0,3.0,No,941,ALQ,217,0.0,576,Unf,2006.0,1158,Gd,13072,63.0,0.0,50,5,6,1158,0.0,2004,2004,158000
1728,0.0,6.0,No,40,GLQ,1424,0.0,352,Unf,2002.0,1728,TA,10624,66.0,84.0,0,4,5,1728,0.0,1964,1964,119000
864,0.0,3.0,Av,390,ALQ,474,0.0,352,Unf,1989.0,864,TA,7180,60.0,0.0,0,7,5,864,0.0,1972,1972,127000
981,787.0,3.0,No,569,ALQ,162,0.0,240,Unf,1939.0,1768,Gd,7200,60.0,252.0,0,7,5,731,0.0,1937,1950,175000
1836,0.0,3.0,No,24,GLQ,1836,0.0,484,Fin,2004.0,1836,Gd,9100,70.0,0.0,33,5,7,1860,0.0,2004,2005,216837
1094,0.0,3.0,Mn,500,Rec,594,0.0,495,Unf,1953.0,1094,TA,10452,85.0,216.0,0,5,6,1094,0.0,1953,1953,155000
720,0.0,2.0,No,495,Rec,225,0.0,0,None,1982.5,720,TA,7879,60.0,0.0,523,5,4,720,0.0,1920,1950,34900
1575,0.0,3.0,No,430,GLQ,1145,0.0,529,RFn,1992.0,1575,Gd,8012,50.0,0.0,0,5,6,1575,0.0,1992,1992,179200
672,728.0,3.0,No,209,ALQ,463,0.0,440,Fin,1978.0,1400,TA,7844,74.0,203.0,0,7,6,672,0.0,1978,1978,149500
979,871.0,3.0,No,595,GLQ,378,0.0,467,Fin,1994.0,1850,Gd,29959,66.0,0.0,98,6,7,973,0.0,1994,1994,248000
1116,0.0,3.0,No,0,Unf,1116,0.0,440,Unf,1962.0,1116,TA,10000,87.0,261.0,0,6,6,1116,0.0,1962,1962,160000
796,358.0,3.0,No,735,BLQ,61,0.0,240,Unf,1922.0,1154,Gd,5436,40.0,0.0,96,8,4,796,0.0,1922,2007,125500
1478,0.0,3.0,No,1270,BLQ,208,0.0,498,Unf,1960.0,1478,TA,17600,66.0,30.0,40,5,6,1478,0.0,1960,1960,157500
760,896.0,3.0,No,0,Unf,746,0.0,397,Fin,2003.0,1656,Gd,6931,60.0,92.0,128,5,7,746,0.0,2003,2004,165400
811,576.0,3.0,No,0,Unf,811,0.0,256,Unf,1954.0,1387,Gd,6000,50.0,0.0,0,4,5,811,0.0,1954,1954,93000
856,854.0,3.0,No,706,GLQ,150,0.0,548,RFn,2003.0,1710,Gd,8450,65.0,196.0,61,5,7,856,0.0,2003,2003,208500
1350,0.0,3.0,Gd,624,GLQ,288,0.0,520,RFn,1964.0,1350,TA,9020,82.0,259.0,0,5,6,1248,0.0,1964,1964,168500
742,742.0,3.0,No,0,Unf,742,0.0,390,Fin,2005.0,1484,Gd,12589,149.0,0.0,24,5,6,742,0.0,2005,2005,174000
1660,0.0,3.0,Mn,1220,GLQ,440,0.0,500,RFn,2006.0,1660,Gd,10182,85.0,420.0,50,5,8,1660,0.0,2006,2006,290000
