1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
979,979.0,4.0,3.0,484,5.0,495,492,3.0,1946.0,1958,3.0,7136,82.0,423.0,0,6,979,1946,1950,145000
1425,0.0,3.0,3.0,490,6.0,935,576,2.0,1964.0,1425,3.0,10175,100.0,272.0,0,5,1425,1964,1964,180500
1040,0.0,2.0,4.0,0,4.0,0,420,3.0,1956.0,1040,3.0,7200,60.0,0.0,0,5,0,1949,1950,90000
1682,0.0,3.0,3.0,0,6.0,1304,530,3.0,1970.0,1682,3.0,10400,80.0,288.0,0,6,1304,1970,1970,174000
1535,0.0,3.0,3.0,2,2.0,1515,532,2.0,2004.0,1535,2.0,10171,70.0,168.0,0,5,1517,2004,2004,214000
848,0.0,1.0,0.0,659,2.0,189,420,0.0,2003.0,848,2.0,4435,36.0,170.0,0,5,848,2003,2003,131500
923,0.0,2.0,3.0,543,1.0,261,264,2.0,1980.0,923,3.0,8012,50.0,0.0,0,5,923,1980,1980,143000
630,672.0,3.0,3.0,0,6.0,630,280,3.0,1991.0,1302,3.0,1680,21.0,142.0,0,5,630,1971,1971,112000
810,0.0,3.0,3.0,387,0.0,374,484,2.0,1992.0,1603,2.0,7153,65.0,0.0,124,5,761,1992,1992,175900
1158,0.0,3.0,3.0,941,0.0,217,576,3.0,2006.0,1158,2.0,13072,63.0,0.0,50,5,1158,2004,2004,158000
1092,0.0,3.0,3.0,170,3.0,252,288,3.0,1962.0,1092,3.0,11616,66.0,116.0,20,5,1092,1962,1962,139000
1680,0.0,3.0,3.0,808,2.0,72,540,0.0,1988.0,1680,2.0,21695,66.0,260.0,44,9,880,1988,2007,222000
1734,1088.0,3.0,1.0,0,6.0,1734,1020,2.0,2009.0,2822,0.0,13891,107.0,424.0,170,5,1734,2008,2009,582933
693,0.0,2.0,3.0,0,6.0,693,0,1.0,1982.5,693,1.0,4118,153.0,0.0,20,4,693,1941,1950,52500
1224,0.0,2.0,3.0,883,2.0,341,402,0.0,1999.0,1224,3.0,4500,66.0,425.0,304,5,1224,1999,1999,165000
1383,1015.0,3.0,3.0,719,6.0,660,834,0.0,1996.0,2398,2.0,11787,95.0,594.0,60,5,1379,1996,1997,315750
1500,0.0,3.0,0.0,1070,2.0,286,648,0.0,2006.0,1500,2.0,4045,53.0,45.0,20,5,1356,2006,2006,246578
1053,795.0,4.0,3.0,0,6.0,833,370,3.0,1922.0,1848,2.0,13053,64.0,0.0,0,7,833,1923,2000,207000
2898,0.0,2.0,0.0,1165,0.0,0,665,0.0,1976.0,2898,2.0,15498,66.0,0.0,72,6,1565,1976,1976,287000
1363,0.0,2.0,3.0,650,1.0,178,288,3.0,1951.0,1363,3.0,14559,75.0,70.0,42,7,1008,1951,2000,164900
1007,793.0,3.0,3.0,0,6.0,982,463,0.0,2000.0,1800,3.0,8123,60.0,16.0,63,5,982,2000,2000,179000
892,0.0,3.0,3.0,340,5.0,524,264,2.0,1966.0,892,3.0,9477,66.0,65.0,0,5,864,1966,1966,110000
1004,0.0,2.0,1.0,975,2.0,0,504,3.0,1977.0,1004,3.0,10530,78.0,90.0,0,5,975,1977,1977,135000
1466,1362.0,4.0,1.0,1150,2.0,316,1052,2.0,2006.0,2828,2.0,9965,77.0,340.0,144,5,1466,2006,2007,424870
900,0.0,3.0,2.0,234,6.0,180,576,3.0,2005.0,900,2.0,7200,60.0,0.0,32,7,900,1951,2000,134800
848,0.0,3.0,2.0,662,2.0,186,420,2.0,2004.0,848,2.0,4435,37.0,169.0,0,5,848,2004,2004,155900
802,670.0,3.0,3.0,0,6.0,384,402,2.0,1991.0,1472,2.0,10784,66.0,76.0,0,5,384,1991,1992,160000
768,664.0,2.0,3.0,0,6.0,264,360,3.0,1910.0,1432,3.0,9600,60.0,0.0,0,7,264,1910,2002,132000
988,0.0,2.0,3.0,0,6.0,988,520,2.0,1954.0,988,3.0,21750,100.0,0.0,0,5,988,1954,1954,113000
943,0.0,3.0,1.0,828,2.0,115,472,0.0,1998.0,1638,3.0,9042,59.0,0.0,38,5,943,1998,1998,192000
780,595.0,3.0,3.0,0,6.0,780,544,3.0,1979.0,1375,2.0,9000,50.0,0.0,162,6,780,1937,1950,141000
1922,0.0,3.0,1.0,1249,2.0,673,676,0.0,2005.0,1922,2.0,14157,86.0,200.0,51,5,1922,2005,2006,377426
